SHOPPING_SITES
365gorgeous
23bacio
ajio
abof
aliexpress
AskmeBazaar
Asos
Amazon
Americanswan
Adirawoman
Brandmile
bestylish
Biotique
baychic
blab
beautylounge
brandsvillage
Biba
Cosmetix
cilory
Coolbuy
Couponation
Caratlane
theCollective
Chrono24
Craftsvilla
ConfidentialCouture
Dealsandyou
Digaaz
doozyshopping
donebynone
Darveys
Ebay
Ethoswatches
Elitify
Evya
Ethnicdukaan
Fashionandyou
Forever21
Flipkart
Forestessentialsindia
Forevernew
futurebazaar
Fashnvia
Fashionatclick
Fetise
Fashionara
Fabfurnish
Faballey
Fressup
goodlife
Globusstores
gkboptical
Getitbazaar
homeshop18
Handspick
Helioswatchstore
healthkart
Hot9offers
infibeam
indiavarta
Iknowstudio
in.loccitane
inonit
Indiarush
Indianroots
Jabong
justshecosmetics
Jewelskart
Juvalia
Koovs
Kiehlsindia
Landmarkshop
letsbuy
lenskart
Limeroad
myntra
mydala
Mirraw
Moodsofcloe
Meenabazaar
Meenabazaar
makeupshades
morphmaternity
medplusbeauty
macys
majorbrands
Matwali
MrButton
99labels
Nupinch
Nordstrom
naaptol
Nykaa
nnnow
oyegirl
Olx
Only
Oasap
poshfusion
purplle
Peppercloset
Pepperfry
Pipabella
Paperlillie
Perniaspopupshop
Prettysecrets
qvendo
Quikr
romwe
Rooja
Rangrage
shoppersstop
Shopalike
shopping
shopping
snapdeal
shopatmajorbrands
shop.mango
snapittoday
stylecraze
styleme
Shinedeals
Shopnineteen
Stalkbuylove
Stevemadden
Stylefiesta
Stylista
Slassy
Suhaniepittie
Sbuys
Theprivatesales
Tradus
Toteteca
Trendin
Thecollective
Thebodyshop
Trivenisarees
Thequirkbox
urbantouch
Utsavfashion
violetbag
Voguemagnet
Vivaahsurat
Varighty
Voylla
veromoda
watchkart
Wforwoman
yebhi
yepme
Youshine
zoomin
zivame
Zomato
Zoutons
zovi
airtel
aircel
vodafone
freecharge
paytm
mobikwik
